Key,german
SuicideNoteTip,"22. Juni 1998\n\nIch musste es tun. Wir liefen vor diesen Dingen davon - und halfen uns gegenseitig zu überleben. Aber Robert begann, die Symptome zu zeigen. Ich musste es tun. Diese verdammten Dinger sind das reine Böse.\n\nEs gab keine andere Möglichkeit. Er hätte dasselbe getan, wenn es andersherum gewesen wäre. Nachdem ich ihn von seinem Elend erlöst hatte, musste ich ihn einfach ins Badezimmer stecken. Jetzt bin ich wahrscheinlich der Letzte...\n\nWie konnte das nur passieren? Ich werde mir nie verzeihen, dass ich bei diesem Projekt mitgemacht habe. Letztendlich werde ich aber bekommen, was ich verdiene. Es gibt keinen Weg, aus diesem Irrenhaus zu entkommen, es ist nur noch eine Frage der Zeit.\n\nEs ist alles bereit. Alles, was ich brauche, ist ein wenig Mut, um es zu tun. Zu wissen, dass ich viele Dinge unerledigt lassen werde, ist unbeschreiblich bedauerlich.\n\nAber das ist besser, als nur darauf zu warten, einer von ihnen zu werden. Bitte versteh das und lass mich wenigstens mein Leben als Mensch beenden.\n\nAuf der Rückseite steht eine Nachricht.\n\nLinda, bitte verzeih mir..."
Plant42Report,Bericht Pflanze 42 
Plant42ReportTip_title,Bericht Pflanze 42 
Plant42ReportTip,"Vier Tage sind seit dem Unfall vergangen. Die Pflanze bei Punkt 42 wächst mit einer erstaunlichen Geschwindigkeit.\n\nObwohl es viele unbekannte Aspekte über diese Pflanze gibt, wissen wir, dass das T-Virus im Vergleich zu den anderen Pflanzengruppen einen wesentlich stärkeren Einfluss auf diese Pflanze hatte.\n\nWenn man sich seinen jetzigen Zustand ansieht, ist es schwierig, sich sein ursprüngliches Aussehen vorzustellen. Nirgendwo auf der Erde wird man etwas Vergleichbares finden.\n\nWir haben auch herausgefunden, dass PFLANZE 42 zwei Hauptquellen hat, um seine notwendigen Nährstoffe zu erhalten. Die eine Quelle ist ihre Wurzel. Irgendwie hat sie sich in den Keller eingewurzelt.\n\nUnmittelbar nach dem Unfall wurde ein Wissenschaftler verrückt und zerstörte den Wasserring. Seitdem gleicht der Keller einem Tümpel. Höchstwahrscheinlich ist es eine der Chemikalien im Wasser, die das schnelle Wachstum der PFLANZE 42 begünstigt.\n\nWir müssen jedoch noch herausfinden, um welche Chemikalie es sich handelt.\n\nEin zwiebelartiger Körper der PFLANZE 42 wurde von der Decke des ersten Stocks hängen gesehen.Wir sind sicher, dass er die Luftschächte benutzt hat, um in den ersten Stock zu gelangen. Zahlreiche lange, tentakelartige Ranken ragen aus der Zwiebel heraus.\n\nWir glauben, dass die Ranken das zweite Mittel sind, um an seine Nährstoffe zu gelangen. Wenn die PFLANZE 42 Beute wittert, benutzt sie die tentakelartigen Ranken, um ihre Beute zu fangen. Danach saugen die Saugnäpfe an der Ranke das Blut der Beute ab.\nWir haben auch festgestellt, dass sie über eine gewisse Intelligenz verfügt. Wenn sie ihre Beute gefangen hat oder wenn sie inaktiv ist, schlingen sich die Ranken um die Tür, um mögliche Eindringlinge aufzuhalten.\n\nLeider sind bereits mehrere unserer Wissenschaftler dieser PFLANZE 42 zum Opfer gefallen. Als wir die Geschichten der Überlebenden hörten, stellten sie alle eine Gemeinsamkeit fest: \n\nWenn sich die gleichmäßigen blütenblattartigen Klappen öffnen und ihr lebenswichtiges Inneres enthüllen, neigt sie dazu, aggressiver zu werden.\n\nEin Zeuge berichtete, dass es so sei, als ob sie sich selbst schützen wolle. Warum sie sich so verhält, ist noch unbekannt.\n\n21. Mai 1998\nHenry Sarton"
OrganicChemistryLabExperiment,Organische Chemie - Laborexperiment
OrganicChemistryLabExperimentTip_title,Organische Chemie - Laborexperiment
OrganicChemistryLabExperimentTip,"Über die Ähnlichkeiten in den zellulären Eigenschaften der schnell wachsenden, mit dem Tyrant-Virus infizierten Pflanze wurde bereits in früheren Arbeiten berichtet. Bei der Wiederholung dieser Experimente wurde jedoch eine interessante neue Tatsache deutlich.\n\nWir erfuhren, dass eine Chemikalie aus der UMB-Familie, UMB Nr. 20, eine Verbindung enthält, die für die Zellen der Pflanze giftig ist.\n\nWir haben UMB Nr. 20 einen neuen Namen gegeben: V-JOLT. Wenn die Berechnungen korrekt sind, sollte bei direkter Anwendung von V-JOLT auf die Wurzel der Pflanze die gesamte Pflanze innerhalb von 5 Sekunden absterben.\n\nDas V-JOLT kann durch einfaches Mischen der Chemikalien VP und UMB in einem bestimmten Verhältnis hergestellt werden. Beim Umgang mit diesen UMB-Chemikalien ist jedoch besondere Vorsicht geboten. Es ist bekannt, dass sie bei unsachgemäßer Handhabung giftige Gase erzeugen.\n\nDie Eigenschaften der einzelnen UMB-Chemikalien sind wie folgt:\n\nUMB Nr. 3 rot\nGelb-6 gelb\nUMB Nr. 7 grün\nUMB Nr. 10 orange\nVP-017 blau\nV-JOLT dunkel braun"
FamilyPictureandNotes,Familienbild und Brief
FamilyPicture1Tip_title,Familienbild und Brief
FamilyPicture1Tip,"Da steht etwas auf der Rückseite\n\n10. November 1967\n-Progenitorvirus verabreicht\n\nJessica\nVerabreichtes Virus: Typ-A\nPlasmolyse von Gewebe während der Zellaktivierung.\n\nVirusfusion: Negativ\n\nAktion: Entsorgt\n\nLisa\n\nVerabreichtes Virus: Typ-B\nPlasmolyse von Gewebe während der Zellaktivierung.\n\nVirusfusion: Positive, aber verzögerte Fusion.\n\nKörperveränderung: Beobachtete konstante Ergebnisse.\n\nStatus: Weitere schützende Beobachtung.\n\n\nGeorge\nAktion: Beendet (30. Nov. 1967)"
Lisa'sJournal,Lisa's Tagebuch
FamilyPicture2Tip_title,Lisa's Tagebuch
FamilyPicture2Tip,"14. November 1967\nIch fühle mich schwindlig nach der Spritze, die sie mir gegeben haben. Ich sehe meine Mutter nicht. Wo haben sie sie hingebracht?\nSie hat versprochen, dass wir zusammen fliehen würden. Ist sie allein geflohen und hat mich zurückgelassen?\n\n15. November 1967\nIch habe Mama gefunden. Wir haben zusammen gegessen. Ich war sehr glücklich.\n\nAber sie war eine Fälschung. Nicht meine echte Mama. Gleiches Gesicht, aber anderes Verhalten.\n\nIch muss Mama finden. Ich muss meiner Mutter ihr Gesicht zurückgeben.\n\nIch habe Mamas Gesicht zurückbekommen.\nNiemand außer mir kann meine Mama haben. Ich setze ihr Gesicht auf, damit sie bei mir bleibt.\nWeil Mama traurig ist, wenn ich sie ohne ihr Gesicht treffe.\n\n17.11.19 7\naus der Kiste kommt Geruch von Mama. Vielleicht ist dort die echte Mama.\nharte Steinkiste. Es tat weh. Stahlseil sind im Weg.\nkann Mama nicht sehen, wegen 4 Steinen.\n\n19\npaapa erst erreicht\nMamma danach erreicht\n\nInnen roT und schLeimig\nWeiS und HarT\n\nicht wahr wo Mama\n\nKeine Ahnung Paapa\nMama wiedergefunden\nMaaaaaaaaaama\nsie bewegt sich nicht mehr\n\nsie schreit\nwarum?\nIch will nur bei ihr sein... wo?\n\nIch vemise dihc"
Jessica'sLetter,Jessica's Brief
FamilyPicture3Tip_title,Jessica's Brief
FamilyPicture3Tip,"An meine Lisa,\n\nvon Tag zu Tag spüre ich, wie mein Bewusstsein immer weiter abdriftet.\nDie Spritzen, die mir von Männern in weißen Kitteln verabreicht wurden, ließen Mamas Juckreiz etwas verschwinden. Heute gaben sie mir eine weitere Spritze und sagten, es sei Nahrung.\n\nWenn sie mir die Spritzen geben, kann Mama klar denken, aber Mama ist schockiert und traurig, weil sie nicht immer an dich denken kann.\n\nMama hat Angst. Angst davor, alles zu vergessen, vor allem die Erinnerungen an dich und Papa... Wie eure Gesichter aussehen, wie wir früher zusammen waren... Sie fangen an, in meinem Kopf irgendwo im Dunkeln zu verschwinden.\n\nOh Lisa, ich wünschte, ich könnte jetzt dein Gesicht berühren und dich in meinen Armen halten, damit ich unsere wunderbaren Erinnerungen an dich und Papa festhalten kann.\n\nLisa, wir können nicht länger hier bleiben. Wir müssen fliehen!\n\nHör mir zu, Lisa. Unsere Chance zu fliehen ist das nächste Mal, wenn wir zusammen in dieses Labor gehen. Wir tun so, als wären wir beide bewusstlos, und wenn der Mann in den weißen Kittel nicht aufpasst, ist das unsere Chance.\n\nWenn wir draußen sind, lass uns zusammen nach Papa suchen. Okay, Schätzchen? Sei stark, Lisa.\n\n13. November 1967\nJessica Trevor"
V-ACT,V-AKTE
VACTTip_title,V-AKTE
VACTTip,"Notiz des Wissenschaftlers\n\nEs gibt jetzt Hinweise darauf, dass der Körper in einen Ruhezustand übergeht, wenn der Wirt das Bewusstsein verliert. Während dieser Zeit wird das Virus aktiv und verwandelt sich rasch und baut die grundlegende Zusammensetzung des Körpers um.\n\nDer Wirt mutierte schließlich zu einer humanoiden Kreatur. (Wir nennen sie V-AKTEs)\n\nSeine Geschwindigkeit und seine erstaunliche Muskelentwicklung sind besonders bemerkenswert. Nach der Verwandlung wird es agiler und aggressiver.\n\nBereits vier unserer Forscher sind bei dem Versuch, es zu füttern, ums Leben gekommen und haben den Ort in ein sofortiges Blutbad verwandelt. (Seit diesem tragischen und barbarischen Unfall haben wir beschlossen, diese Art 'Scharlachrote Köpfe' zu nennen)\n\nDieses gefährliche und wertvolle Prototyp-Exemplar können wir nicht dort lassen. Wir müssen einen Weg finden, wie wir mit ihm umgehen können. Eine Tötung ist definitiv keine Option.\n\nWir haben schließlich beschlossen, das Exemplar einzufrieren und den Körper im Keller des Hinterhoffriedhofs einzuschließen."
FAX,FAX
FAXTip_title,FAX
FAXTip,"Zu: Abteilung Sanitärtechnik\nAn: Leiter der Sanitärabteilung\nVon: Raccoon Ausschuss für den Katastrophenschutz\n\nDer Inhalt dieses Faxes ist vertraulich und nur für den genannten Adressaten bestimmt. Jegliche Vervielfältigung oder Weitergabe des Inhalts dieses Faxes an Dritte ist vom Absender strengstens untersagt.\n\nNach der Lektüre dieses Faxes muss es sofort vernichtet werden.\n\nWir gehen davon aus, dass der Schaden durch den jüngsten Ausbruch des T-Virus erheblich größer ist als ursprünglich angenommen. Es gibt mehrere Befürchtungen.\n\nErste Befürchtung\nMehr als die Hälfte der Forscher wurde mit dem T-Virus infiziert und ist gestorben. Außerdem wurde berichtet, dass fast alle Überlebenden dieses Unfalls erste Symptome einer T-Virus-Infektion zeigen.\n\nZweite Sorge\nUnser geheimes Sicherheitspatrouillen-Team wurde ebenfalls vollständig ausgelöscht. Daher besteht die Gefahr, dass unsere geheimsten Forschungen an die Öffentlichkeit gelangen. Es muss schnell gehandelt werden, um eine Massenberichterstattung in den Medien zu verhindern.\n\nDritte Sorge\nEs ist sehr wahrscheinlich, dass die meisten Exemplare innerhalb des Geländes frei herumlaufen. Wir gehen davon aus, dass es viele Opfer geben wird.\n\nAuch wenn dies bedauerlich ist, unterstreichen diese Opfer den Erfolg unserer Forschungsergebnisse. Es müssen Maßnahmen ergriffen werden, um zu verhindern, dass unsere Forschungsergebnisse an die Öffentlichkeit gelangen.\nWir vermuten, dass die erste offizielle Intervention von der Staatspolizei und S.T.A.R.S. kommen wird. Wir empfehlen dringend, zuerst Maßnahmen gegen sie zu ergreifen."
SecurityProtocols,Sicherheitsprotokolle
SecurityProtocolsTip_title,Sicherheitsprotokolle
SecurityProtocolsTip,"KELLERGESCHOSS EBENE ZWEI\n\nVisueller Datenraum/ Nur zur Nutzung durch die Abteilung für Spezialforschung. Jeder andere Zugang zum visuellen Datenraum muss mit Keith Arving, Raumverwaltung, abgesprochen werden.\n\n\nKELLERGESCHOSS EBENE DREI\n\nDie Abteilung Gefängnis/Sanitär kontrolliert die Nutzung des Gefängnisses. Mindestens ein beratender Forscher (E. Smith, S. Ross, A. Wesker) muss anwesend sein, wenn die virale Nutzung genehmigt wird.\n\n\nDreifachverriegelungstür/ Der Zugang zum Raum ist auf die einzige Person beschränkt, die das Schloss mit allen Passcodes deaktiviert. Durch den Zugriff auf die exklusiven Ausgangsterminals, die sich in jedem Bereich der leitenden Forscher befinden, wird die Sperre deaktiviert.\n\nKraftraum/ In diesem Raum wird Nitroverbindung als primäre Kraftstoffquelle für Energie verwendet. Der Zugang ist auf die Aufsichtspersonen des Hauptquartiers beschränkt. Diese Einschränkung gilt nicht für beratende Forscher mit Sondergenehmigung.\n\nPasscode-Ausgangsterminals/ Die Benutzung und der Zugang zu den Ausgangsterminals ist auf autorisierte leitende Forscher beschränkt.\n\n\nKELLERGESCHOSS EBENE VIER\n\nBezüglich des Fortschritts vom 'Tyrann' nach der Verabreichung des T-Virus...\n(Unleserlich im Folgenden...)"
TrainingInformation,[4FC3F7]Trainings Informationen[-]
TrainingInformationTip_title,[4FC3F7]Trainings Informationen[-]
TrainingInformationTip,"Deine Trainingsvorteile - mehr Details:\n\nChemieexperte:\nErmöglicht dir, viel mehr Munition mit großer Schießpulvereffizienz herzustellen. Außerdem kannst du unerwünschte Munition abbauen, ohne Ressourcen zu verlieren.\n\nPassive Heilung:\nDu heilst 900 HP pro Stunde, solange du nicht bei voller Gesundheit bist. Sehr gut zum entspannten Durchspielen, schlecht für einen Speedrun.\n\nMedizinisches Wissen:\n35% mehr medizinische Heilung ist perfekt für die Maximierung deiner Heilungsvorräte sowie für die Heilung in der Mitte des Kampfes. Besser für Speedruns als passive Heilung.\n\nMesser-Training:\nVerbessert deine Fähigkeit, das Messer zu benutzen, und ermöglicht es dir, mehr Munition zu sparen, schneller zu töten und nicht so schnell zu erschöpfen.\n\nKardio:\nDu kannst schneller und länger rennen, so dass du schnellen Gegnern entkommen kannst, ohne von hinten getroffen zu werden.\n\nSchmerztoleranz:\nDu bist widerstandsfähiger als die meisten anderen und kannst mehr Treffer überleben, bevor du deinen Verletzungen erliegst."
Achievements,[4FC3F7]Errungenschaften[-]
AchievementsTip_title,[4FC3F7]Errungenschaften[-]
AchievementsTip,"Im Folgenden findest du eine Liste von Erfolgen, die du anstreben kannst, wenn du eine zusätzliche Herausforderung suchst.\n\n[4FC3F7]Klassiker sterben niemals aus[-]\nBesiege das Spiel im klassischen Modus.\n\n[4FC3F7]Samurai 'Jill' Edge[-]\nBesiege das Spiel nur mit dem Survival-Messer als Waffe. \n(Schusswaffen und Wurfgegenstände können nicht verwendet werden.)\n\n[4FC3F7]Meister der Inventarverwaltung[-]\nBesiege das Spiel, ohne jemals Gegenstandskästen zur Aufbewahrung deiner Gegenstände zu verwenden.\n(Dies schließt Schreibmaschinen, die Schmiede und die Werkbank ein. Ausnahme: Du darfst nur die roten Säcke benutzen.\n\n[4FC3F7]Ausbruch verhindert?[-]\nBesiege das Spiel mit mindestens 260 Kills.\n\n[4FC3F7]Schnelles Entkommen[-]\nBesiege das Spiel in unter:\n - D: 2 Stunden 0 Minuten. \n - C: 2 Stunden 30 Minuten.\n - B: 3 Stunden 0 Minuten.\n - A: 3 Stunden 30 Minuten.\n - S: 4 Stunden 10 Minuten. \n - S+: 4 Stunden 50 Minuten.\n\n[4FC3F7]Hautallergien[-]\nBesiege das Spiel, ohne Kräuter oder Erste-Hilfe-Sprays zu benutzen.\n(Passive Heilung ist erlaubt. Du kannst kein Gift heilen)\n\n[4FC3F7]Ich bin gerettet![-]\nFinde die unendliche Schreibmaschine und speichere dein Spiel so oft du willst!\n\n[4FC3F7]Echtes Überleben![-]\nBesiege das Spiel mit deaktivierten verbundenen Aufbewahrungskisten!"
MeleeCombat,[4FC3F7]Nahkampf-Sicherheit[-]
MeleeCombatTip_title,[4FC3F7]Nahkampf-Sicherheit[-]
MeleeCombatTip,"Zombies haben eine volle Schmerzresistenz, ein Angriff auf die meisten Zombies führt zu einer 5-sekündigen Gegenangriffsschwelle. Wenn du einen Zombie angreifst, bevor die 5 Sekunden abgelaufen sind, wird die Schwelle für den Gegenangriff um weitere 5 Sekunden erhöht (bis zu 15 Sekunden). Die sicherste Art, mit Zombies im Nahkampf umzugehen, ist es, die Angriffe zu verteilen.\n\nWenn sich ein Zombie in deinem Weg befindet, der keine aktive Gegenangriffsschwelle hat, und du dich an ihm vorbeibewegen willst, kannst du vermeiden, Schaden zu nehmen, indem du den Zombie im Vorbeigehen triffst.\n\nZerstückelung:\nDeine Chance auf Zerstückelung liegt bei 25%, Sprintangriffe und Angriffe mit hoher Ausdauer erhöhen deine Chance auf Zerstückelung zusätzlich."
Herbs,[4FC3F7]Kräuter: Effizienz und Nachwachsen[-]
HerbsTip_title,[4FC3F7]Kräuter: Effizienz und Nachwachsen[-]
HerbsTip,"Eine Mischung aus zwei grünen Kräutern erhöht die Potenz um 25 %.\n(160 + 160 = 320 x 1,25 = 400)\n\nEine Mischung aus drei grünen Kräutern erhöht die Potenz um 50 %.\n(160 + 160 + 160 = 480 x 1. 5 = 720)\n\nEine grüne + rote + blaue Kräutermischung ist die beste Kombination, da sie eine maximale Heilung von 800 bietet, Gift heilt und den Schaden für 120 Sekunden um 30 % verringert, was für den Einsatz in der Mitte des Kampfes ideal ist.\n\nDie Kräuter wachsen nach:\nEs gibt vier grüne Kräuter, ein rotes und ein blaues, die nachwachsen können. Diese „Saatgut“-Töpfe können aufgenommen und drinnen platziert werden, um den Zugang zu erleichtern. Sie werden im Haus wachsen."
AmmoCrafting,[4FC3F7]Muniherstellung[-]
AmmoCraftingTip_title,[4FC3F7]Muniherstellung[-]
AmmoCraftingTip,"Die Basisressourcen für das Handwerk:\n\nKohle:\nVerbrannte Bäume sind die einzige Quelle für Kohle. Wenn du nach draußen gehst, wirst du reichlich davon finden. Vermeide Zombies, wenn du nicht noch mehr Scharlachrote Köpfe haben willst.\n\nNitrat:\nNitrat findet man bei (a) Zombie-Tieren/verrottenden Leichen, (b) Draußen und (c) Treibholz.\n\nBleierz:\ndraußen zwischen den Bäumen und Zombies gibt es Bleierz.\n\nMessing:\nSammel die Heizkörper überall im Herrenhaus auf und schmelze sie in der Schmiede ein, die Schmiede ist irgendwo zu finden."
Miscellaneous,[4FC3F7]Weitere Informationen[-]
MiscellaneousTip_title,[4FC3F7]Weitere Informationen[-]
MiscellaneousTip,"Flüssigkeitsaufnahme: Wenn du in Brand gesetzt wirst, müssen du mit bloßen Händen an einer Wasserquelle trinken.\n\nEinige Blöcke können zerstört werden, andere sind erforderlich, um weiterzukommen, also halte Ausschau nach allem, was verdächtig sein könnte. Geländer im zweiten Stock können zerstört werden, um der Gefahr zu entgehen, indem man eine Etage tiefer springt.\n\nEs gibt fünf Schwerttüren, aber nur vier Schwertschlüssel. Welche lässt man verschlossen?\n\nKlebrige Granaten haften auch an Gegenständen, nicht nur an Blöcken.\n\nWenn es um Bossräume geht, kann man sie nicht verlassen, bevor man den Boss getötet hat. Stelle sicher, dass du bereit bist, bevor du diese Räume betrittst!"
CrimsonPrevention,[4FC3F7]Scharlachroter Kopf Vorsorge[-]
CrimsonPreventionTip_title,[4FC3F7]Scharlachroter Kopf Vorsorge[-]
CrimsonPreventionTip,"Scharlachrote Köpfe können nicht existieren, wenn Zombies nicht getötet werden, also ist es eine Möglichkeit, ungebetene Gäste zu vermeiden, indem man Zombies dort leben lässt, wo es bequem ist. Türen helfen dabei, die Zombies davon abzuhalten, dich einzuholen.\n\nEnthauptung:\nDie beste Chance, den Kopf eines Zombies zu enthaupten, hat man mit einer Handfeuerwaffe mit eingebautem Schalldämpfer (4-fache Chance), vorausgesetzt, man findet sie und wählt sie als eine der drei Optionen für „Militärgüter“. Schrotflintengeschosse sind die nächstbeste Option.\n\nBeine amputieren:\nDie beste Chance, ein Zombie-Bein zu amputieren, ist mit der Schrotflinte, aber es kann ein wenig knifflig sein, lassen mich erklären.\n\nKugeln und Geschosse haben beide eine sehr hohe Chance, funktionieren aber unterschiedlich. \Bei Kugeln: Je weniger HP dein Ziel hat, desto größer ist die Chance, dass du ihm das Bein amputierst.\n\nGeschosse erfordern, dass das Ziel bei voller Gesundheit ist, je weniger HP es hat, desto unwahrscheinlicher ist es, dass du ihm ein Bein amputierst.\n\nWenn du Glück hast, kannst du einen Zombie fast mit deinem Messer töten und dann deine Handfeuerwaffe auf sein Bein richten."
Quest_Completion_tip_title,Du bist erfolgreich entkommen!
Completion_desc,"Jill Valentine hat es geschafft, aus dem Herrenhaus zu entkommen. Sie ahnt nicht, dass der Albtraum gerade erst begonnen hat!\n\nGlückwunsch!!!\nDu hast den Spencer Mansion Vorfall erfolgreich abgeschlossen.\n\nIch hoffe, du hattest beim Spielen genauso viel Spaß wie ich bei der Erstellung des Spiels!\n\nFrantic Dan"
Quest_Completion_tip,"Jill Valentine hat es geschafft, aus dem Herrenhaus zu entkommen. Sie ahnt nicht, dass der Albtraum gerade erst begonnen hat!\n\nGlückwunsch!!!\nDu hast den Spencer Mansion Vorfall erfolgreich abgeschlossen.\n\nIch hoffe, du hattest beim Spielen genauso viel Spaß wie ich bei der Erstellung des Spiels!\n\nFrantic Dan"
zombieArlene,JaWoodle's Girl
zombieMarlene,Misterri
zombieNurse,Umbrella Chirurgin
zombieJoe,Glock9's Dealer
zombieSteve,Draycko
zombieBusinessMan,Aviose
zombieBoe,DD1GG
zombieJanitor,HellsJanitor
zombieMoe,TheOrigamiGuru
zombieLab,Umbrella Wissenschaftlerin
zombieDarlene,Lois Griffin
zombieYo,YubiNashi
zombieUtilityWorker,"Guns, Nerds, and Steel"
zombieBiker,Games4Kickz
zombieLumberjack,JonahBirch
zombieFemaleFat,Rambunctious Red
zombieFatHawaiian,Peter Griffin
zombieMaleHazmat,Umbrella Gefahrguttechniker
zombieSkateboarder,DoctorBest85
zombieSoldier,Umbrella Sicherheitsbeamter
animalZombieDog,Cerberus
ZombieDog,Cerberus
animalZombieVulture,Flappy Fuck
animalSnake,Adder
animalChicken,Oskurd
WebSpinner,Netzspinner
CrimsonHead,Jagz's Opfer
CrimsonHeadPrototype,Scharlachroter Kopf Prototyp
CrimsonHeadPrototype2,Scharlachroter Kopf Prototyp
ForestSpeyer,Waldspeyer
ForestSpeyer2,Waldspeyer
Hunter,Jäger
FailedTestSubject,Durchgefallenes Testobjekt
Plant42,Pflanze 42
animalYawntheWolf,Gähnender Wolf
BlackTigerSpider,Schwarze Tigerspinne
LisaTrevor,Lisa Trevor
Tyrant,Tyrann
SuperTyrant,Super Tyrann
BoeCrawler,Verkrüppelter DD1GG
JoeCrawler,Glock9's Verkrüppelter Dealer
JanitorCrawler,Verkrüppelter HellsJanitor
ArleneCrawler,JaWoodle's Verkrüppeltes Girl
LabWorkerCrawler,Verkrüppelte Umbrella Wissenschaftlerin
DarleneCrawler,Verkrüppelte Lois Griffin
MarleneCrawler,Verkrüppelte Misterri
YoCrawler,Verkrüppelter YubiNashi
SteveCrawler,Verkrüppelter Draycko
BusinessManCrawler,Verkrüppelter Aviose
BurntCrawler,Jagz's Verkrüppeltes Opfer
NurseCrawler,Verkrüppelte Umbrella Surgeon
HazmatCrawler,Verkrüppelter Umbrella Gefahrguttechniker
SkateboarderCrawler,Verkrüppelter DoctorBest85
zombieMarleneRadiated,Misterri
zombieJoeRadiated,Glock9's Dealer
zombieJanitorRadiated,HellsJanitor
zombieYoRadiated,NotOnly25
BoeCrimsonHead,Scharlachroter Kopf
JoeCrimsonHead,Scharlachroter Kopf
SteveCrimsonHead,Scharlachroter Kopf
TomCrimsonHead,Scharlachroter Kopf
YoCrimsonHead,Scharlachroter Kopf
BusinessManCrimsonHead,Scharlachroter Kopf
ArleneCrimsonHead,Scharlachroter Kopf
DarleneCrimsonHead,Scharlachroter Kopf
MarleneCrimsonHead,Scharlachroter Kopf
JanitorCrimsonHead,Scharlachroter Kopf
MoeCrimsonHead,Scharlachroter Kopf
BikerCrimsonHead,Scharlachroter Kopf
LumberjackCrimsonHead,Scharlachroter Kopf
FemaleFatCrimsonHead,Scharlachroter Kopf
FatHawaiianCrimsonHead,Scharlachroter Kopf
SkateboarderCrimsonHead,Scharlachroter Kopf
UtilityWorkerCrimsonHead,Scharlachroter Kopf
LabCrimsonHead,Scharlachroter Kopf
NurseCrimsonHead,Scharlachroter Kopf
MaleHazmatCrimsonHead,Scharlachroter Kopf
SoldierCrimsonHead,Scharlachroter Kopf

STARSTrainingManual,S.T.A.R.S Trainingshandbuch
BrawlerTraining,Schlägertraining
BoomstickTraining,Boomstick Training
ArmourToleranceTraining,Rüstungstoleranztraining
SexualTrexTraining,Sexueller Trex-Training
MachineGunnnerTraining, Maschinengewehrtraining
PainToleranceTraining,Schmerztoleranztraining
WellnessTraining,Trainuing fürs Wohlbefinden
HealingFactorTraining,Heilungsfaktortraining
PhysicianTraining,Mediziner-Training
DeepCutsTraining,Tiefe Wunden Training
GunslingerTraining,Revolverheld-Training
RunandGunTraining,Laufen und Schießen Training
FlurryofBlowsTraining,Wirbelsturm Training
CardioTraining,Kardiotraining

"FinalEscape","Entkomme diesem Albtraum!!"
"FinalEscapekey","Entkomme diesem Albtraum!!"
"FinalEscapename","Entkomme diesem Albtraum!!"
"FinalEscapedesc","Es ist endlich an der Zeit aus diese Hölle zu verschwinden!"

ObjectiveGoto_keyword,Zum Helikopterlandeplatz


attStrengthRank01LongDescRE,"Verursachen 250% Kopfschussschaden und haben eine 15% höhere Chance, mit Schrotflinten und Fäusten zu zerstückeln."
perkDemolitionsExpertRank1LongDescRE,"Du bist jetzt ein eingeweihter Grenadier, sei vorsichtig mit dem Sprengstoff. Erhöhe den Schaden um 17%, die Nachladegeschwindigkeit um 10%, ziele 15% schneller und erhöhe die Chance auf Zerstückelung um 15%."
perkDemolitionsExpertRank2LongDescRE,"Erhöht den Schaden um 34 %, die Nachladegeschwindigkeit um 20 %, zielt 30 % schneller und erhöht die Chance auf Zerstückelung um 30 %."
perkDemolitionsExpertRank3LongDescRE,"Du bist jetzt ein Sprengstoffexperte. Erhöhet den Schaden um 51%, erhöhet die Nachladegeschwindigkeit um 30%, ziele 45% schneller, erhöhet die Chance auf Zerstückelung um 45%."
perkBoomstickRank1LongDescRE,"Verursacht 8,5% mehr Schaden.\n+8% schnellere Feuerrate.\n+8% schnelleres Nachladen.\nBetäubt Gegner für 4 Sekunden."
perkBoomstickRank2LongDescRE,"Verursacht 17% mehr Schaden.\n16% schnellere Feuerrate.\n+16% schnelleres Nachladen.\nBetäubt Gegner für 6 Sekunden."
perkBoomstickRank3LongDescRE,"Verursacht 25,5% mehr Schaden.\n24% schnellere Feuerrate.\n+24% schnelleres Nachladen.\nBetäubt Gegner für 8 Sekunden."
perkBoomstickRank4LongDescRE,"Verursacht 34% mehr Schaden.\n32% schnellere Feuerrate.\n+32% schnelleres Nachladen.\nBetäubt Gegner für 8 Sekunden.\nBeinschüsse verkrüppeln Gegner."
perkBrawlerNameRE,Schläger (Slots 7 8 9 0)
perkBrawlerRank1LongDescRE,Verursacht 12,5% mehr Schaden. Blockschaden +50%.\nSchläge gegen den Kopf negieren die Infektionsfähigkeit.
perkBrawlerRank2LongDescRE,Verursacht 25% mehr Schaden.Blockschaden +100%.\nSchläge gegen den Kopf negieren die Infektionsfähigkeit.\n30% Chance, Gegner mit schweren Angriffen zu betäuben.
perkBrawlerRank3LongDescRE,Verursacht 37,5% mehr Schaden. Blockschaden +150%.\nSchläge gegen den Kopf negieren die Infektionsfähigkeit.\n30% Chance, Gegner mit schweren Angriffen zu betäuben.\nSchwere Angriffe gegen den Kopf haben eine 30%ige Chance, den Gegner niederzustrecken.
perkBrawlerRank4LongDescRE,Verursacht 50% mehr Schaden.Blockschaden +200%.\nSchläge gegen den Kopf negieren die Infektionsfähigkeit.\n30% Chance, Gegner mit schweren Angriffen zu betäuben.\nSchwere Angriffe gegen den Kopf haben eine 30%ige Chance, den Gegner niederzusttecken.\n+10% Zerlegungschance.
perkSexualTrexRank1LongDescRE,Reduziert den Verbrauch von Nahkampf- und Werkzeugausdauer um 6%\nSchwere Angriffe um 10%.\nTötungsschläge gewähren 10 Ausdauer.
perkSexualTrexRank2LongDescRE,Reduziert den Verbrauch von Nahkampf- und Werkzeugausdauer um 12%\nSchwere Angriffe um 20%.\nTötungsschläge gewähren 15 Ausdauer.
